parsha,most relevant words
Ha'Azinu,"['rock', 'adversaries', 'faithfulness', 'roused', 'dreaded', 'venom', 'recompense', 'jealousy', 'vengeance', 'arrows', 'render', 'provoke', 'vine', 'fat', 'didst', 'bitter', 'doctrine', 'distil', 'showers', 'ascribe']"
Bereshit,"['cain', 'begot', 'lamech', 'garden', 'lived', 'firmament', 'adam', 'enoch', 'created', 'abel', 'tree', 'kind', 'eden', 'enosh', 'seth', 'kenan', 'mahalalel', 'jared', 'methuselah', 'hundred']"
Noach,"['noah', 'begot', 'flood', 'shem', 'lived', 'ark', 'waters', 'earth', 'japheth', 'arpachshad', 'ham', 'eber', 'terah', 'fowl', 'dove', 'peleg', 'living', 'kind', 'nahor', 'haran']"
Lech-Lecha,"['abram', 'sarai', 'sodom', 'king', 'ishmael', 'lot', 'circumcised', 'chedorlaomer', 'hagar', 'abrams', 'vale', 'herdmen', 'foreskin', 'kings', 'mistress', 'gomorrah', 'goods', 'covenant', 'bethel', 'her']"
Vayera,"['abraham', 'sarah', 'abimelech', 'lot', 'sodom', 'lad', 'said', 'escape', 'she', 'righteous', 'zoar', 'beersheba', 'isaac', 'peradventure', 'laugh', 'bottle', 'ewelambs', 'arose', 'hagar', 'early']"
Chayei Sara,"['master', 'abraham', 'camels', 'pitcher', 'rebekah', 'ephron', 'heth', 'bury', 'ishmael', 'sarah', 'cave', 'masters', 'she', 'abrahams', 'her', 'fountain', 'drink', 'isaac', 'damsel', 'servant']"
Toldot,"['esau', 'isaac', 'rebekah', 'venison', 'jacob', 'savoury', 'abimelech', 'father', 'digged', 'isaacs', 'gerar', 'bless', 'birthright', 'paddanaram', 'philistines', 'blessing', 'blessed', 'abraham', 'hairy', 'pottage']"
Vayetzei,"['laban', 'rachel', 'jacob', 'leah', 'speckled', 'streaked', 'spotted', 'conceived', 'handmaid', 'flock', 'mandrakes', 'flocks', 'she', 'heap', 'wages', 'rods', 'leahs', 'labans', 'served', 'said']"
Vayishlach,"['esau', 'chief', 'jacob', 'hamor', 'reigned', 'anah', 'shechem', 'esaus', 'chiefs', 'oholibamah', 'eliphaz', 'zibeon', 'edom', 'seir', 'adah', 'basemath', 'handmaids', 'dishon', 'jacobs', 'rachel']"
Vayeshev,"['joseph', 'prison', 'dream', 'coat', 'dreamed', 'tamar', 'butler', 'she', 'chief', 'judah', 'pharaohs', 'baker', 'cup', 'ishmaelites', 'master', 'her', 'pit', 'brethren', 'guard', 'interpretation']"
Miketz,"['pharaoh', 'joseph', 'famine', 'sacks', 'sack', 'josephs', 'dream', 'spies', 'kine', 'youngest', 'money', 'buy', 'we', 'illfavoured', 'plenty', 'corn', 'dreamed', 'steward', 'food', 'interpret']"
Vayigash,"['joseph', 'pharaoh', 'goshen', 'father', 'jacob', 'lad', 'famine', 'brethren', 'wagons', 'souls', 'we', 'canaan', 'egypt', 'our', 'pharaohs', 'youngest', 'changes', 'laden', 'occupation', 'exchange']"
Vayechi,"['joseph', 'bury', 'blessings', 'father', 'buried', 'ephraims', 'troop', 'cave', 'manasseh', 'ephraim', 'vine', 'jacob', 'buryingplace', 'excellency', 'ephron', 'manassehs', 'shore', 'physicians', 'atad', 'meant']"
Shemot,"['pharaoh', 'straw', 'taskmasters', 'midwives', 'bush', 'heretofore', 'moses', 'said', 'brick', 'believe', 'bricks', 'idle', 'task', 'hebrew', 'met', 'burdens', 'child', 'egyptian', 'jethro', 'she']"
Vaera,"['pharaoh', 'hail', 'frogs', 'flies', 'magicians', 'swarms', 'rod', 'river', 'gnats', 'moses', 'hardened', 'arts', 'aaron', 'servants', 'stretch', 'entreat', 'egyptians', 'egypt', 'secret', 'houses']"
Bo,"['locusts', 'pharaoh', 'houses', 'leavened', 'firstborn', 'egypt', 'egyptians', 'sideposts', 'lintel', 'unleavened', 'pharaohs', 'moses', 'lamb', 'hardened', 'passover', 'ordinance', 'hail', 'jewels', 'redeem', 'month']"
Beshalach,"['sea', 'chariots', 'egyptians', 'horsemen', 'waters', 'moses', 'pharaoh', 'murmurings', 'amalek', 'omer', 'manna', 'dry', 'wilderness', 'pillar', 'marah', 'elim', 'host', 'today', 'led', 'eating']"
Yitro,"['jethro', 'mosesfatherinlaw', 'rulers', 'fatherinlaw', 'mount', 'moses', 'horn', 'sinai', 'people', 'bounds', 'lightnings', 'louder', 'encamped', 'causes', 'fifties', 'judged', 'trembled', 'thick', 'egyptians', 'matter']"
Mishpatim,"['owner', 'pay', 'ox', 'master', 'restitution', 'gore', 'tooth', 'thief', 'free', 'hurt', 'ass', 'stoned', 'pit', 'drive', 'quit', 'punished', 'wound', 'stripe', 'gored', 'theft']"
Terumah,"['sockets', 'cubits', 'curtain', 'curtains', 'boards', 'overlay', 'board', 'tabernacle', 'gold', 'rings', 'side', 'acaciawood', 'loops', 'cherubim', 'staves', 'branches', 'pillars', 'cubit', 'brass', 'length']"
Tetzaveh,"['ephod', 'breastplate', 'ram', 'settings', 'aaron', 'gold', 'blue', 'rings', 'chains', 'wreathen', 'mitre', 'aarons', 'woven', 'row', 'minister', 'bullock', 'shoulderpieces', 'ends', 'consecration', 'linen']"
Ki Tisa,"['tables', 'grace', 'moses', 'calf', 'stiffnecked', 'mount', 'noise', 'ornaments', 'shekel', 'thee', 'testimony', 'passeth', 'spices', 'written', 'vessels', 'tent', 'aaron', 'consume', 'wax', 'people']"
Vayikra,"['offering', 'fat', 'bullock', 'sinoffering', 'altar', 'smoke', 'inwards', 'priest', 'guilty', 'burntoffering', 'mealoffering', 'kidneys', 'forgiven', 'aarons', 'blood', 'sinned', 'blemish', 'savour', 'fire', 'forfeit']"
Tzav,"['fat', 'offereth', 'peaceofferings', 'smoke', 'altar', 'sacrifice', 'sprinkled', 'thanksgiving', 'guiltoffering', 'breast', 'aaron', 'mealoffering', 'sinoffering', 'anointed', 'moses', 'ram', 'burntoffering', 'aarons', 'kidneys', 'consecration']"
Shmini,"['unclean', 'carcass', 'detestable', 'kinds', 'cud', 'hoof', 'parteth', 'cheweth', 'swarming', 'fours', 'sinoffering', 'burntoffering', 'aaron', 'swarm', 'waters', 'fins', 'scales', 'owl', 'swarmeth', 'altar']"
Emor,"['profane', 'convocation', 'holy', 'servile', 'blemish', 'accepted', 'offering', 'convocations', 'israelitish', 'sheaf', 'solemn', 'seasons', 'dwellings', 'offer', 'sabbath', 'maimed', 'booths', 'defile', 'wave', 'continually']"
Bamidbar,"['numbered', 'thousand', 'families', 'those', 'upward', 'fathershouses', 'hundred', 'tribe', 'levites', 'prince', 'pitch', 'names', 'cloth', 'number', 'tabernacle', 'war', 'hosts', 'fifty', 'able', 'standard']"
Nasso,"['shekels', 'dish', 'pan', 'helamb', 'basin', 'five', 'service', 'oxen', 'offering', 'full', 'mealoffering', 'hegoats', 'helambs', 'numbered', 'shekel', 'golden', 'goats', 'weight', 'nazirite', 'naziriteship']"
Beha'alotcha,"['forward', 'levites', 'blow', 'cloud', 'host', 'passover', 'moses', 'miriam', 'alarm', 'journeyed', 'tabernacle', 'cleanse', 'encamped', 'camp', 'trumpets', 'standard', 'journey', 'appearance', 'camps', 'aaron']"
