parsha,repeated words
Ha'Azinu,"['אשר', 'את', 'כי', 'אל']"
Bereshit,"['שנה', 'ויחי', 'האדם', 'כל', 'הבל', 'אשר', 'ויאמר', 'מתושלח', 'שת', 'חנוך', 'קינן', 'קין', 'ויולד', 'המים', 'אלהים', 'מאות', 'ירד', 'אנוש', 'אדם', 'מהללאל', 'את', 'הארץ', 'כי', 'ויהי', 'יהוה', 'למך', 'אל']"
Noach,"['שנה', 'אברם', 'ויחי', 'הרן', 'כל', 'אשר', 'שבעה', 'ובני', 'נחור', 'היונה', 'ויולד', 'תרח', 'התבה', 'המים', 'מכל', 'ובין', 'נח', 'את', 'הארץ', 'ואת', 'יהוה', 'אתכם', 'שם', 'על', 'ילד']"
Lech-Lecha,"['אברם', 'ויאמר', 'מלך', 'לוט', 'פרעה', 'אחריך', 'את', 'אתו', 'ואת', 'יהוה', 'שרי', 'אל']"
Vayera,"['ויאמר', 'נא', 'שבע', 'בן', 'אולי', 'אלהים', 'אברהם', 'שרה', 'את', 'כי', 'ואת', 'יצחק', 'לא', 'יהוה', 'הוא', 'הנער', 'אל', 'שם']"
Chayei Sara,"['אשר', 'רבקה', 'ישמעאל', 'אברהם', 'את', 'ואת']"
Toldot,"['לי', 'ויאמר', 'יעקב', 'את', 'יצחק', 'עשו', 'אל', 'בני']"
Vayetzei,"['אשר', 'ובינך', 'ויאמר', 'אחי', 'בן', 'ליעקב', 'ותאמר', 'אתה', 'הצאן', 'יעקב', 'לבן', 'הגל', 'אלהים', 'הזה', 'את', 'כי', 'לאה', 'ביני']"
Vayishlach,"['לך', 'גם', 'כל', 'אשר', 'אשת', 'תחתיו', 'ויאמר', 'נא', 'וימת', 'בן', 'וימלך', 'יעקב', 'אלה', 'את', 'כי', 'ואלה', 'ואת', 'עשו', 'אל', 'על', 'בני', 'אלוף']"
Vayeshev,"['שר', 'אשר', 'בית', 'ויאמר', 'לו', 'יהודה', 'יוסף', 'פרעה', 'את', 'כי', 'ויהי', 'אתו', 'בגדו', 'לא', 'יהוה', 'הסהר', 'אל']"
Miketz,"['כל', 'אשר', 'האנשים', 'ויאמר', 'שבע', 'יוסף', 'פרעה', 'מצרים', 'את', 'כי', 'והנה', 'על']"
Vayigash,"['כל', 'לפרעה', 'אדני', 'מצרימה', 'ויאמר', 'ובני', 'יוסף', 'פרעה', 'מצרים', 'יעקב', 'אלה', 'את', 'כי', 'עבדך', 'לא', 'אחיו', 'בארץ', 'אל']"
Vayechi,"['אשר', 'ויאמר', 'יוסף', 'ראש', 'ישראל', 'ברכת', 'את', 'כי', 'אל']"
Shemot,"['ויאמר', 'ותאמר', 'פרעה', 'הילד', 'ישראל', 'מצרים', 'אלהים', 'אלהי', 'את', 'משה', 'יהוה', 'אל']"
Vaera,"['אשר', 'לו', 'ובני', 'פרעה', 'ישראל', 'מצרים', 'את', 'כי', 'הצפרדעים', 'משה', 'יהוה', 'אתכם', 'ביאר', 'היאר', 'אל', 'על', 'בני']"
Bo,"['לך', 'גם', 'כל', 'בו', 'יאכל', 'מצרים', 'את', 'לא', 'יהוה', 'על']"
Beshalach,"['איש', 'העם', 'ישראל', 'מצרים', 'את', 'משה', 'יהוה', 'אל', 'על', 'הים']"
Yitro,"['אשר', 'הדבר', 'העם', 'אתה', 'ההר', 'את', 'ואת', 'לא', 'משה', 'יהוה', 'שרי', 'אל']"
Mishpatim,"['כל', 'איש', 'ישלם', 'לו', 'אם', 'או', 'ישראל', 'שור', 'את', 'כי', 'לא', 'משה', 'יהוה', 'על', 'תחת']"
Terumah,"['הארן', 'האחד', 'וחצי', 'ועשית', 'נחשת', 'המשכן', 'אדנים', 'זהב', 'הכפרת', 'עשרים', 'את', 'ואדניהם', 'החצר', 'היריעה', 'הקרש', 'תעשה', 'ממנה', 'על', 'הקנים', 'תחת', 'קלעים']"
Tetzaveh,"['אשר', 'האיל', 'ועל', 'האפוד', 'שתי', 'את', 'הפר', 'ואת', 'תעשה', 'אהרן', 'החשן', 'אתם', 'אל', 'על']"
Ki Tisa,"['כל', 'אשר', 'ויאמר', 'חן', 'קול', 'את', 'כי', 'ואת', 'לא', 'משה', 'יהוה', 'קדש', 'אהרן', 'אל', 'על']"
Vayikra,"['הכהן', 'כל', 'אשר', 'מן', 'החלב', 'או', 'המזבח', 'לפני', 'את', 'ליהוה', 'הפר', 'ואת', 'יהוה', 'על']"
