parsha,most relevant words
Ha'Azinu,"['צור', 'דור', 'ואין', 'צורם', 'נבל', 'למו', 'בלא', 'חמת', 'אויב', 'נקם', 'מדם', 'חצי', 'עמו', 'האזינו', 'ותשמע', 'יערף', 'כמטר', 'תזל', 'כטל', 'כשעירם']"
Bereshit,"['ויולד', 'קין', 'ויחי', 'אלהים', 'למך', 'האדם', 'הגן', 'הבל', 'הולידו', 'אנוש', 'ובנות', 'חנוך', 'שת', 'קינן', 'מהללאל', 'מתושלח', 'מאות', 'שנה', 'ברא', 'ותשע']"
Noach,"['נח', 'התבה', 'ויולד', 'ויחי', 'המבול', 'תרח', 'הולידו', 'נחור', 'פלג', 'אברם', 'ובנות', 'המים', 'הרמש', 'חם', 'הרן', 'ילד', 'ונשי', 'שרוג', 'היונה', 'בשר']"
Lech-Lecha,"['אברם', 'לוט', 'סדם', 'שרי', 'לאברם', 'כדרלעמר', 'ומלך', 'מלך', 'בריתי', 'אברהם', 'ישמעאל', 'ביני', 'ואברם', 'צער', 'השדים', 'לברית', 'זרעך', 'הגר', 'אשתך', 'עליון']"
Vayera,"['אברהם', 'אבימלך', 'שרה', 'לוט', 'נא', 'יצחק', 'ואברהם', 'הנער', 'תספה', 'ימצאון', 'סדם', 'ויאמר', 'הבכירה', 'העיר', 'אשחית', 'המלט', 'כבשת', 'בבאר', 'יחידך', 'הככר']"
Chayei Sara,"['אברהם', 'קבר', 'חת', 'העבד', 'רבקה', 'הגמלים', 'אדני', 'שרה', 'עפרון', 'מתך', 'כדה', 'ישמעאל', 'שתה', 'ותאמר', 'יצחק', 'מערת', 'שמעני', 'לשאב', 'ותמהר', 'חיי']"
Toldot,"['יצחק', 'יעקב', 'עשו', 'אביו', 'מטעמים', 'אבימלך', 'רבקה', 'אברהם', 'פדנה', 'ציד', 'בנה', 'ויאמר', 'ורבקה', 'חפרו', 'פלשתים', 'מבנות', 'באר', 'אבי', 'ואכלה', 'עבדי']"
Vayetzei,"['יעקב', 'לבן', 'רחל', 'לאה', 'ליעקב', 'הצאן', 'ותאמר', 'הגל', 'עקדים', 'נקדים', 'ותלד', 'ותהר', 'ותקרא', 'ברחל', 'עבדתי', 'אישי', 'המקלות', 'בנתי', 'האבן', 'ללבן']"
Vayishlach,"['אלוף', 'יעקב', 'שכם', 'וימלך', 'עשו', 'אלופי', 'חמור', 'עדר', 'אהליבמה', 'אליפז', 'אדום', 'רחל', 'ענה', 'ואלה', 'הילדים', 'צבעון', 'לוטן', 'שמך', 'לאה', 'תחתיו']"
Vayeshev,"['יוסף', 'שר', 'הסהר', 'פרעה', 'יהודה', 'בגדו', 'אדניו', 'בבית', 'חלום', 'הטבחים', 'ויעזב', 'וינס', 'המשקים', 'שלה', 'תמנתה', 'ואקרא', 'כתנת', 'אחיו', 'ויהי', 'ותאמר']"
Miketz,"['יוסף', 'פרעה', 'אחיכם', 'הפרות', 'השבלים', 'מרגלים', 'לשבר', 'הרעב', 'אחריהן', 'אמתחתו', 'בפי', 'אכל', 'חלום', 'כנים', 'שבע', 'שבלים', 'היאר', 'אנחנו', 'פרות', 'השבע']"
Vayigash,"['יוסף', 'פרעה', 'יעקב', 'לפרעה', 'ובני', 'גשן', 'אבי', 'עבדך', 'אדמת', 'הרעב', 'עבדיך', 'מצרימה', 'ליעקב', 'אביו', 'צואריו', 'כנען', 'אחיו', 'מצרים', 'ונאמר', 'והנער']"
Vayechi,"['יוסף', 'אביו', 'אבתי', 'ברכת', 'אפרים', 'קברו', 'מנשה', 'אביך', 'יעקב', 'נא', 'ליוסף', 'עלי', 'אברהם', 'תקברני', 'ימינו', 'עלית', 'לחוף', 'האטד', 'המטה', 'ואקברה']"
Shemot,"['פרעה', 'הילד', 'אהיה', 'תבן', 'הסנה', 'היאר', 'משה', 'למילדת', 'העברית', 'נרפים', 'שטרי', 'ויאמר', 'המילדת', 'יאמינו', 'האלהים', 'אלהי', 'נלכה', 'האתת', 'מדוע', 'ותאמר']"
Vaera,"['פרעה', 'הצפרדעים', 'ביאר', 'היאר', 'מצרים', 'שלח', 'ברד', 'משה', 'ובעמך', 'ויעבדני', 'החרטמים', 'הברד', 'תדע', 'עמי', 'והוצאתי', 'בלטיהם', 'העתירו', 'ויכבד', 'והברד', 'לב']"
Bo,"['פרעה', 'בכור', 'מצרים', 'פטר', 'המזוזת', 'המשקוף', 'הברד', 'יאכל', 'פסח', 'משה', 'הארבה', 'חשך', 'תפדה', 'תאכלו', 'צאנכם', 'כסאו', 'צלי', 'מחמצת', 'בסף', 'לנגף']"
Beshalach,"['הים', 'בים', 'ביבשה', 'גאה', 'תלנתיכם', 'משה', 'פרעה', 'סוס', 'אכלו', 'מחנה', 'ברכבו', 'ובפרשיו', 'מצרים', 'אחריהם', 'ויחנו', 'בפרעה', 'רכבו', 'ימינך', 'לקטו', 'העמר']"
Yitro,"['יתרו', 'חתן', 'העם', 'ההר', 'משה', 'האלהים', 'שרי', 'חתנו', 'סיני', 'בניה', 'לחתנו', 'נכנים', 'יהרסו', 'לבדך', 'שמלתם', 'ויחרד', 'עשן', 'יפרץ', 'לשוא', 'ושפטו']"
Mishpatim,"['ישלם', 'השור', 'בעליו', 'יגח', 'שור', 'או', 'לחפשי', 'בגפו', 'אמתו', 'מעשיך', 'חמור', 'שן', 'שלם', 'וכי', 'רעהו', 'ומת', 'יסקל', 'הגנב', 'תחת', 'יומת']"
Terumah,"['ועשית', 'היריעה', 'המשכן', 'זהב', 'הקרש', 'שטים', 'וצפית', 'ואדניהם', 'נחשת', 'אדנים', 'לפאת', 'עצי', 'יריעת', 'באמה', 'האחת', 'וחצי', 'ארך', 'הקנים', 'ורחב', 'היריעת']"
Tetzaveh,"['זהב', 'האפד', 'החשן', 'האיל', 'האפוד', 'אהרן', 'ועשית', 'שתי', 'תכלת', 'ולקחת', 'תמיד', 'תעשה', 'המזבח', 'ידם', 'הפר', 'לכהנו', 'חשן', 'ומלאת', 'ושחטת', 'החלב']"
Ki Tisa,"['לחת', 'משה', 'הלחת', 'בשם', 'העגל', 'ענות', 'ערף', 'העם', 'ההר', 'השקל', 'האהל', 'רקח', 'כתבים', 'חטאה', 'קשה', 'חן', 'אהרן', 'צויתך', 'מסכה', 'תפדה']"
Vayikra,"['קרבנו', 'הכהן', 'המזבחה', 'החלב', 'והקטיר', 'הפר', 'והביא', 'ושחט', 'וסמך', 'ונסלח', 'המזבח', 'חטא', 'העלה', 'ואשם', 'החטאת', 'חטאתו', 'וזרקו', 'יסירנה', 'תחטא', 'תעשינה']"
Tzav,"['המזבח', 'שלמיו', 'החלב', 'השלמים', 'הימנית', 'אהרן', 'המקריב', 'העלה', 'החזה', 'שוק', 'תוקד', 'ויחגר', 'זבח', 'ויקרב', 'ויקטר', 'משה', 'תורת', 'החטאת', 'האיל', 'תאכל']"
Shmini,"['השרץ', 'יטמא', 'שקץ', 'החלבים', 'הערב', 'מנבלתם', 'תאכלו', 'טמאים', 'יפל', 'החטאת', 'למינהו', 'אהרן', 'המזבח', 'תמתו', 'בנבלתם', 'ויקטר', 'פרסה', 'גרה', 'וטמא', 'החיה']"
