parsha,most relevant words
Ha'Azinu,"['rock', 'vengeance', 'provoked', 'jealousy', 'fat', 'perverse', 'arrows', 'adversaries', 'render', 'o', 'produce', 'consider', 'vine', 'gods', 'bitter', 'enemy', 'doctrine', 'drop', 'distil', 'showers']"
Bereshit,"['begot', 'qayin', 'lemekh', 'garden', 'created', 'firmament', 'lived', 'hevel', 'tree', 'eden', 'enosh', 'shet', 'kind', 'ĥanokh', 'yielding', 'qenan', 'mahalalel', 'yered', 'metushelaĥ', 'earth']"
Noach,"['noaĥ', 'begot', 'flood', 'shem', 'ark', 'waters', 'lived', 'earth', 'ĥam', 'yefet', 'arpakhshad', 'shelaĥ', 'haran', 'teraĥ', 'dove', 'peleg', 'living', 'naĥor', 'language', 'reu']"
Lech-Lecha,"['avram', 'saray', 'sedom', 'king', 'yishmael', 'lot', 'hagar', 'kedorlaomer', 'circumcised', 'avrams', 'herdmen', 'foreskin', 'kings', 'siddim', 'mistress', 'amora', 'covenant', 'betel', 'maid', 'avraham']"
Vayera,"['avraham', 'sara', 'avimelekh', 'lot', 'sedom', 'lad', 'she', 'escape', 'bondwoman', 'beersheva', 'said', 'żoar', 'yiżĥaq', 'righteous', 'laugh', 'bottle', 'oh', 'hagar', 'perhaps', 'city']"
Chayei Sara,"['master', 'avraham', 'camels', 'pitcher', 'rivqa', 'efron', 'ĥet', 'bury', 'cave', 'yishmael', 'she', 'sara', 'avrahams', 'her', 'girl', 'masters', 'yiżĥaq', 'makhpela', 'draw', 'servant']"
Toldot,"['esav', 'yiżĥaq', 'rivqa', 'yaaqov', 'venison', 'savoury', 'avimelekh', 'father', 'dug', 'birthright', 'yiżĥaqs', 'gerar', 'bless', 'blessed', 'paddanaram', 'blessing', 'avraham', 'hairy', 'pottage', 'pelishtim']"
Vayetzei,"['lavan', 'raĥel', 'yaaqov', 'lea', 'speckled', 'streaked', 'spotted', 'heap', 'mandrakes', 'she', 'conceived', 'stolen', 'rods', 'bore', 'leas', 'brown', 'lavans', 'flock', 'maid', 'wages']"
Vayishlach,"['esav', 'chief', 'yaaqov', 'ĥamor', 'reigned', 'ana', 'shekhem', 'esavs', 'oholivama', 'elifaz', 'żivon', 'chiefs', 'edom', 'seir', 'betel', 'ada', 'basemat', 'dishan', 'yaaqovs', 'raĥel']"
Vayeshev,"['yosef', 'dream', 'prison', 'coat', 'brothers', 'dreamed', 'pit', 'tamar', 'butler', 'she', 'baker', 'cup', 'paros', 'yehuda', 'yishmeelim', 'chief', 'interpretation', 'yosefs', 'master', 'her']"
Miketz,"['paro', 'yosef', 'famine', 'cows', 'sack', 'sacks', 'dream', 'spies', 'youngest', 'favoured', 'yosefs', 'buy', 'we', 'plenty', 'money', 'corn', 'ill', 'dreamed', 'food', 'interpret']"
Vayigash,"['yosef', 'paro', 'goshen', 'father', 'yaaqov', 'lad', 'famine', 'souls', 'wagons', 'servants', 'brethren', 'miżrayim', 'paros', 'we', 'youngest', 'kenaan', 'our', 'hasten', 'changes', 'laden']"
Vayechi,"['yosef', 'bury', 'blessings', 'father', 'buried', 'efrayims', 'cave', 'brothers', 'menashshe', 'efrayim', 'mourning', 'yaaqov', 'buryingplace', 'efron', 'menashshes', 'bough', 'physicians', 'embalmed', 'atad', 'yosefs']"
Shemot,"['midwives', 'paro', 'straw', 'taskmasters', 'bush', 'moshe', 'bricks', 'eheye', 'heretofore', 'idle', 'met', 'believe', 'bosom', 'said', 'burdens', 'hebrew', 'she', 'miżrian', 'paros', 'child']"
Vaera,"['paro', 'hail', 'frogs', 'gnats', 'magicians', 'rod', 'river', 'hardened', 'lice', 'moshe', 'entreat', 'arts', 'swarms', 'servants', 'aharon', 'miżrayim', 'stretch', 'swarm', 'houses', 'secret']"
Bo,"['locusts', 'paro', 'leavened', 'miżrayim', 'houses', 'firstborn', 'paros', 'unleavened', 'moshe', 'hardened', 'passover', 'hail', 'posts', 'ordinance', 'jewels', 'redeem', 'lamb', 'month', 'midnight', 'basin']"
Beshalach,"['sea', 'chariots', 'horsemen', 'omer', 'waters', 'moshe', 'paro', 'murmurings', 'amaleq', 'horse', 'thrown', 'dry', 'manna', 'miżrayim', 'wilderness', 'pillar', 'mara', 'elim', 'today', 'eating']"
Yitro,"['yitro', '', 'law', 'moshes', 'rulers', 'mountain', 'moshe', 'shofar', 'sinay', 'father', 'cases', 'lightnings', 'louder', 'people', 'thick', 'fifties', 'tens', 'judged', 'covet', 'thousands']"
Mishpatim,"['owner', 'ox', 'master', 'pay', 'restitution', 'judges', 'punished', 'gore', 'tooth', 'free', 'ass', 'thief', 'hurt', 'or', 'money', 'drive', 'stoned', 'pit', 'sell', 'marriage']"
Terumah,"['sockets', 'cubits', 'curtain', 'boards', 'curtains', 'overlay', 'board', 'tabernacle', 'shittim', 'rings', 'branches', 'gold', 'loops', 'pillars', 'side', 'poles', 'keruvim', 'cubit', 'length', 'breadth']"
Tetzaveh,"['efod', 'breastplate', 'ram', 'rings', 'aharon', 'gold', 'blue', 'wreathen', 'mitre', 'girdle', 'chains', 'row', 'aharons', 'minister', 'finely', 'fixtures', 'consecrate', 'ends', 'offering', 'engrave']"
Ki Tisa,"['tablets', 'moshe', 'calf', 'furniture', 'stiffnecked', 'noise', 'ornaments', 'shekel', 'spices', 'gods', 'testimony', 'thee', 'tent', 'aharon', 'written', 'passes', 'mountain', 'sabbath', 'pure', 'favour']"
Vayikra,"['offering', 'fat', 'altar', 'inwards', 'priest', 'bullock', 'burn', 'meal', 'forgiven', 'guilt', 'sin', 'ignorance', 'kidneys', 'aharons', 'blood', 'offer', 'blemish', 'sinned', 'sacrifice', 'guilty']"
Tzav,"['offering', 'fat', 'sprinkled', 'offers', 'consecration', 'altar', 'anointed', 'thanksgiving', 'guilt', 'aharons', 'aharon', 'moshe', 'meal', 'burnt', 'fixed', 'ram', 'breast', 'offerings', 'sacrifice', 'eats']"
Shmini,"['unclean', 'carcass', 'cud', 'hoof', 'chews', 'kind', 'offering', 'creeping', 'owl', 'abominable', 'clovenfooted', 'creep', 'aharon', 'touches', 'burnt', 'waters', 'fins', 'scales', 'wave', 'slaughtered']"
Emor,"['profane', 'offer', 'holy', 'servile', 'gathering', 'sabbath', 'blemish', 'offering', 'accepted', 'wave', 'omer', 'gatherings', 'yisraelite', 'feasts', 'or', 'proclaim', 'booths', 'continually', 'kills', 'freewill']"
Bamidbar,"['numbered', 'thousand', 'families', 'upward', 'hundred', 'tribe', 'captain', 'levites', 'names', 'hosts', 'tabernacle', 'pitch', 'host', 'cloth', 'number', 'war', 'those', 'fifty', 'standard', 'qehat']"
Nasso,"['shekels', 'offering', 'dish', 'bowl', 'spoon', 'service', 'five', 'full', 'goats', 'numbered', 'oxen', 'shekel', 'separation', 'lambs', 'prince', 'weight', 'meal', 'nazir', 'families', 'ram']"
