parsha,most relevant words
Ha'Azinu,"['כעס', 'דור', 'צור', 'פעל', 'למו', 'נקמ', 'ואנ', 'ענב', 'בלא', 'חכמ', 'עמו', 'אוב', 'נבל', 'סתר', 'חצי', 'גפנ', 'חמת', 'כטר', 'תזל', 'כטל']"
Bereshit,"['קינ', 'ולד', 'למכ', 'וחי', 'הגנ', 'ברא', 'שת', 'ללל', 'הבל', 'רקע', 'שנה', 'הלד', 'רמש', 'למנ', 'טוב', 'אדמ', 'העצ', 'חית', 'והי', 'נח']"
Noach,"['נח', 'תבה', 'ולד', 'מבל', 'רמש', 'וחי', 'פכד', 'תרח', 'פלג', 'הרנ', 'הלד', 'נחר', 'חמ', 'ילד', 'ונש', 'וחמ', 'שרג', 'החה', 'נפצ', 'למנ']"
Lech-Lecha,"['אבר', 'לוט', 'שרי', 'סדמ', 'שעל', 'מלכ', 'כדע', 'רכש', 'זעכ', 'עמק', 'לבר', 'הגר', 'בתר', 'עמר', 'נא', 'רעי', 'ראי', 'ברת', 'שפח', 'רפל']"
Vayera,"['אבר', 'בלכ', 'שרה', 'לוט', 'צחק', 'נא', 'סדמ', 'צער', 'נער', 'צדק', 'מלט', 'אמר', 'אול', 'הער', 'לבר', 'אבי', 'ככר', 'האפ', 'בבר', 'חדכ']"
Chayei Sara,"['אבר', 'עפנ', 'רבק', 'קבר', 'כדה', 'חת', 'גלמ', 'אדנ', 'שעל', 'שרה', 'צחק', 'צלח', 'צדמ', 'חיי', 'גלכ', 'בתל', 'נחר', 'נא', 'שקל', 'שתה']"
Toldot,"['צחק', 'רבק', 'עקב', 'אבו', 'בלכ', 'טעמ', 'חפר', 'ציד', 'עשו', 'אבר', 'באר', 'גרר', 'פדנ', 'מצד', 'ברכ', 'ולכ', 'אבי', 'גשה', 'ארמ', 'פשת']"
Vayetzei,"['רחל', 'עקב', 'לאה', 'נקד', 'הגל', 'עקד', 'טלא', 'לבנ', 'מצב', 'תהר', 'צאנ', 'עדר', 'דדא', 'חומ', 'תקר', 'שפח', 'תאר', 'תלד', 'בכנ', 'תרפ']"
Vayishlach,"['אלפ', 'עקב', 'אלב', 'לפז', 'רחל', 'עדר', 'צענ', 'שכמ', 'לטנ', 'עשו', 'דנה', 'חמר', 'שמכ', 'לעש', 'רעל', 'ענה', 'דשנ', 'החר', 'בת', 'לאה']"
Vayeshev,"['שר', 'סהר', 'וספ', 'חלמ', 'הדה', 'פרע', 'סרס', 'פסמ', 'עדל', 'כוס', 'משק', 'שקמ', 'אחו', 'והי', 'כנת', 'הבר', 'שעל', 'טבח', 'צלח', 'פתנ']"
Miketz,"['פרע', 'וספ', 'רעב', 'שבל', 'שבר', 'חלמ', 'פרת', 'בפי', 'דקת', 'פתר', 'רקת', 'האר', 'שדפ', 'בר', 'קטנ', 'טבת', 'טבח', 'אחכ', 'גבע', 'כספ']"
Vayigash,"['פרע', 'וספ', 'עקב', 'רעב', 'גשנ', 'אבי', 'עדכ', 'אבו', 'צאר', 'אחו', 'צרמ', 'עגת', 'דתנ', 'נאר', 'אדת', 'רחל', 'נמת', 'נער', 'אדנ', 'ברע']"
Vayechi,"['וספ', 'קבר', 'אבו', 'חנט', 'מנש', 'אפר', 'עקב', 'עפנ', 'נא', 'אבל', 'עלי', 'אבר', 'אטד', 'פרת', 'אבכ', 'מנו', 'לחפ', 'ספד', 'ברכ', 'בכת']"
Shemot,"['פרע', 'סנה', 'אהה', 'הלד', 'נזח', 'שטר', 'תבנ', 'משה', 'האר', 'נגש', 'אמר', 'אמנ', 'מצר', 'האת', 'נרפ', 'לדת', 'מדע', 'אתת', 'דלה', 'תמל']"
Vaera,"['פרע', 'צפד', 'ברד', 'חרט', 'האר', 'משה', 'עתר', 'צרמ', 'בלט', 'עמי', 'ארנ', 'שלח', 'לב', 'תדע', 'קלת', 'באר', 'מקנ', 'נטה', 'לבו', 'חיי']"
Bo,"['פרע', 'פסח', 'צרמ', 'פטר', 'ארב', 'בכר', 'חמצ', 'משה', 'זזת', 'תפד', 'חשכ', 'צלי', 'חזק', 'ברד', 'בעצ', 'שקפ', 'מצת', 'הדמ', 'חדש', 'נגפ']"
Beshalach,"['הימ', 'בימ', 'לקט', 'גאה', 'רכב', 'משה', 'חלו', 'סוס', 'פרע', 'בכב', 'בפש', 'מנכ', 'עמר', 'רמה', 'בבש', 'העמ', 'צרמ', 'רדפ', 'עלק', 'זו']"
