start_ref,end_ref,span,half_span_length,heb,repetitions,tfidf
Genesis 1 1,Genesis 2 4,35,8,???,7,0.116971651
Genesis 1 2,Genesis 3 5,60,15,???,35,0.203418901
Genesis 1 4,Genesis 3 6,59,14,???,14,0.083877621
Genesis 1 7,Genesis 2 24,49,12,??,7,0.032592935
Genesis 1 11,Genesis 3 6,52,13,???,7,0.059292563
Genesis 1 20,Genesis 3 20,57,14,??,7,0.049141268
Genesis 1 21,Genesis 1 25,5,1,???,7,0.138239224
Genesis 1 21,Genesis 1 30,10,2,????,7,0.090568865
Genesis 2 16,Genesis 4 23,57,14,???,28,0.134569427
Genesis 2 16,Genesis 3 22,32,8,???,21,0.082665546
Genesis 2 17,Genesis 4 12,45,11,??,14,0.050072345
Genesis 3 6,Genesis 4 26,45,11,???,7,0.042190759
Genesis 4 8,Genesis 4 21,14,3,??,7,0.030060199
Genesis 4 12,Genesis 6 13,60,15,??,14,0.120081391
Genesis 4 13,Genesis 4 25,13,3,???,7,0.195718821
Genesis 4 17,Genesis 5 29,39,9,???,7,0.071521911
Genesis 4 17,Genesis 6 10,52,13,???,14,0.08569492
Genesis 6 4,Genesis 6 21,18,4,??,7,0.093885647
Genesis 5 8,Genesis 6 20,45,11,?????,7,0.039835809
Genesis 4 25,Genesis 5 8,10,2,???,7,0.085626984
Genesis 5 3,Genesis 6 3,33,8,????,49,0.187876241
Genesis 6 14,Genesis 6 19,6,1,???,7,0.079324833
Genesis 6 13,Genesis 8 11,45,11,???,14,0.055687633
Genesis 6 19,Genesis 7 15,19,4,?????,7,0.039380566
Genesis 6 20,Genesis 7 14,17,4,???,7,0.073585846
Genesis 7 23,Genesis 9 21,45,11,??,7,0.044916958
Genesis 8 4,Genesis 8 14,11,2,????,7,0.048705425
Genesis 8 5,Genesis 9 23,41,10,???,7,0.034511263
Genesis 8 17,Genesis 9 17,23,5,????,7,0.068145711
Genesis 8 17,Genesis 9 28,34,8,???,7,0.132871334
Genesis 8 21,Genesis 9 6,8,2,???,7,0.048675508
Genesis 8 22,Genesis 10 20,50,12,??,7,0.100823541
Genesis 9 1,Genesis 10 1,30,7,?,7,0.056709454
Genesis 9 4,Genesis 9 16,13,3,????,7,0.026986634
Genesis 9 9,Genesis 9 17,9,2,????,7,0.041459534
Genesis 9 12,Genesis 10 12,30,7,???,14,0.056036163
Genesis 9 18,Genesis 11 11,55,13,???,21,0.088104224
Genesis 9 18,Genesis 10 15,27,6,????,7,0.047428309
Genesis 9 28,Genesis 11 26,60,15,????,28,0.126295851
Genesis 10 9,Genesis 11 9,33,8,????,7,0.044916958
Genesis 10 21,Genesis 11 17,29,7,???,7,0.032631808
Genesis 11 24,Genesis 11 31,8,2,???,7,0.108833708
Genesis 12 2,Genesis 14 20,57,14,???,7,0.05262781
Genesis 12 5,Genesis 14 21,55,13,?????,7,0.078591375
Genesis 12 20,Genesis 15 10,53,13,????,7,0.03267821
Genesis 13 3,Genesis 14 10,26,6,???,7,0.077325255
Genesis 13 6,Genesis 15 14,51,12,?????,7,0.078591375
Genesis 13 8,Genesis 14 16,27,6,??,7,0.034675919
Genesis 13 9,Genesis 15 5,39,9,??,7,0.028636909
Genesis 14 8,Genesis 14 22,15,3,???,7,0.108063141
Genesis 15 1,Genesis 17 23,60,15,???,7,0.029950226
Genesis 15 1,Genesis 17 20,57,14,???,7,0.051539929
Genesis 16 6,Genesis 17 18,29,7,???,7,0.028880457
Genesis 15 18,Genesis 17 21,41,10,????,14,0.080630803
Genesis 16 1,Genesis 16 16,16,4,???,7,0.081337866
Genesis 18 5,Genesis 19 26,55,13,???,7,0.037591243
Genesis 18 16,Genesis 19 35,53,13,???,7,0.045353931
Genesis 18 21,Genesis 19 20,33,8,??,14,0.116898452
Genesis 18 24,Genesis 18 28,5,1,????,7,0.037984779
Genesis 19 1,Genesis 20 13,51,12,???,14,0.05955666
Genesis 19 1,Genesis 19 36,36,9,?????,7,0.045945405
Genesis 19 2,Genesis 20 18,55,13,???,7,0.031781305
Genesis 19 7,Genesis 19 20,14,3,??,7,0.116898452
Genesis 19 14,Genesis 20 13,38,9,???,7,0.05955666
Genesis 19 20,Genesis 19 29,10,2,???,7,0.079713403
Genesis 19 32,Genesis 19 35,4,1,????,7,0.051954867
Genesis 20 11,Genesis 22 14,56,14,????,7,0.067258632
Genesis 20 12,Genesis 22 1,42,10,???,7,0.05955666
Genesis 20 15,Genesis 22 13,51,12,???,7,0.045945405
Genesis 20 17,Genesis 22 23,59,14,???,14,0.099765068
Genesis 23 6,Genesis 24 30,45,11,????,7,0.039293919
Genesis 23 19,Genesis 24 51,53,13,????,14,0.092969328
Genesis 24 1,Genesis 24 60,60,15,???,7,0.054673746
Genesis 24 2,Genesis 24 47,46,11,??,7,0.033948594
Genesis 24 3,Genesis 24 48,46,11,?????,7,0.042609503
Genesis 24 7,Genesis 24 53,47,11,???,7,0.072140762
Genesis 24 11,Genesis 24 43,33,8,???,7,0.037035806
Genesis 24 12,Genesis 24 45,34,8,??,7,0.073613258
Genesis 24 13,Genesis 24 48,36,9,??,7,0.04852122
Genesis 24 13,Genesis 24 63,51,12,???,7,0.04852122
Genesis 24 14,Genesis 24 46,33,8,????,7,0.073578626
Genesis 24 23,Genesis 24 40,18,4,???,7,0.045029956
Genesis 24 24,Genesis 24 43,20,5,????,7,0.085232002
Genesis 24 25,Genesis 24 46,22,5,??,7,0.053398732
Genesis 24 29,Genesis 24 64,36,9,???,7,0.053043333
Genesis 24 33,Genesis 24 50,18,4,??,7,0.066673781
Genesis 24 35,Genesis 24 65,31,7,????,14,0.258696941
Genesis 24 43,Genesis 25 26,51,12,???,7,0.049299357
Genesis 25 25,Genesis 25 32,8,2,????,7,0.120596883
Genesis 25 21,Genesis 26 12,26,6,???,7,0.03836953
Genesis 26 1,Genesis 26 26,26,6,??????,7,0.10728815
Genesis 26 7,Genesis 27 15,44,11,????,7,0.156057899
Genesis 26 7,Genesis 26 34,28,7,????,7,0.074360546
Genesis 26 7,Genesis 27 11,40,10,????,7,0.039931512
Genesis 26 15,Genesis 26 32,18,4,???,7,0.080365953
Genesis 26 28,Genesis 27 26,34,8,??,7,0.061572597
Genesis 26 34,Genesis 28 9,57,14,??,28,0.125478418
Genesis 27 5,Genesis 28 7,49,12,????,7,0.036975095
Genesis 27 46,Genesis 28 9,10,2,????,7,0.074360546
Genesis 27 11,Genesis 28 20,56,14,??,14,0.069986396
Genesis 27 12,Genesis 28 18,53,13,??,14,0.086266413
Genesis 27 17,Genesis 28 20,50,12,???,7,0.043924664
Genesis 27 28,Genesis 28 14,33,8,???,7,0.065612247
Genesis 27 12,Genesis 28 4,39,9,????,7,0.065005393
Genesis 28 14,Genesis 29 22,31,7,??,7,0.093198523
Genesis 28 15,Genesis 30 3,46,11,????,7,0.054463879
Genesis 28 15,Genesis 30 1,44,11,??,7,0.079884448
Genesis 28 18,Genesis 29 10,15,3,???,7,0.047045266
Genesis 29 2,Genesis 29 10,9,2,???,7,0.055587602
Genesis 29 13,Genesis 30 24,47,11,???,14,0.077760219
Genesis 29 27,Genesis 30 19,28,7,???,7,0.040121211
Genesis 29 32,Genesis 31 4,51,12,???,14,0.077760219
Genesis 29 33,Genesis 31 13,59,14,????,7,0.054463879
Genesis 30 14,Genesis 31 23,53,13,???,7,0.044183184
Genesis 30 30,Genesis 31 35,49,12,???,7,0.047930669
Genesis 30 30,Genesis 31 44,58,14,???,7,0.047045266
Genesis 30 31,Genesis 31 43,56,14,??,7,0.049066134
Genesis 30 35,Genesis 31 12,21,5,???,7,0.072857403
Genesis 31 4,Genesis 32 7,58,14,???,7,0.077760219
Genesis 31 4,Genesis 31 38,35,8,???,7,0.307630853
Genesis 31 5,Genesis 32 10,60,15,?????,21,0.117987079
Genesis 31 15,Genesis 31 54,40,10,???,7,0.028774475
Genesis 31 23,Genesis 32 21,53,13,???,7,0.036303717
Genesis 31 25,Genesis 31 34,10,2,???,7,0.025047504
Genesis 31 26,Genesis 32 28,57,14,??,7,0.049066134
Genesis 31 34,Genesis 32 32,53,13,??,7,0.079884448
Genesis 31 34,Genesis 32 20,41,10,??,7,0.093198523
Genesis 31 47,Genesis 32 31,39,9,???,7,0.077760219
Genesis 31 28,Genesis 32 16,43,10,??,7,0.095861338
Genesis 31 42,Genesis 32 31,44,11,???,7,0.053467279
Genesis 31 32,Genesis 32 20,43,10,???,7,0.035492005
Genesis 31 27,Genesis 32 27,55,13,????,7,0.031597185
Genesis 31 37,Genesis 32 17,35,8,???,14,0.055120743
Genesis 31 33,Genesis 32 23,45,11,?????,7,0.024650968
Genesis 31 46,Genesis 31 52,7,1,??,7,0.080415152
Genesis 32 4,Genesis 33 16,46,11,????,14,0.388449853
Genesis 32 4,Genesis 33 9,39,9,??,7,0.042451964
Genesis 32 5,Genesis 34 5,54,13,??,7,0.024893349
Genesis 32 7,Genesis 33 7,34,8,??,7,0.033561082
Genesis 32 11,Genesis 34 14,57,14,??,7,0.027276311
Genesis 32 12,Genesis 34 12,54,13,??,14,0.064820939
Genesis 32 23,Genesis 34 29,60,15,????,7,0.059161576
Genesis 32 30,Genesis 34 8,32,8,??,7,0.046265904
Genesis 33 18,Genesis 35 4,38,9,????,14,0.092182512
Genesis 33 20,Genesis 35 22,54,13,??????,7,0.032867542
Genesis 34 1,Genesis 35 18,49,12,???,7,0.022182176
Genesis 34 1,Genesis 34 21,21,5,??,14,0.099110594
Genesis 34 7,Genesis 35 3,28,7,????,7,0.026517657
Genesis 34 7,Genesis 35 10,35,8,??,7,0.038303282
Genesis 34 13,Genesis 34 28,16,4,????,7,0.082977911
